State,County,Number of Mines
Alabama,Autauga,3
Alabama,Barbour,7
Alabama,Bibb,3
Alabama,Blount,9
Alabama,Calhoun,9
Alabama,Chilton,3
Alabama,Clarke,4
Alabama,Coffee,1
Alabama,Colbert,4
Alabama,Conecuh,6
Alabama,Coosa,1
Alabama,Cullman,3
Alabama,Dale,2
Alabama,Dallas,7
Alabama,De Kalb,2
Alabama,Elmore,5
Alabama,Escambia,6
Alabama,Etowah,2
Alabama,Fayette,5
Alabama,Franklin,12
Alabama,Geneva,1
Alabama,Greene,1
Alabama,Hale,2
Alabama,Henry,2
Alabama,Jackson,4
Alabama,Jefferson,38
Alabama,Lawrence,1
Alabama,Lee,3
Alabama,Lowndes,3
Alabama,Macon,3
Alabama,Madison,7
Alabama,Marengo,2
Alabama,Marion,9
Alabama,Marshall,3
Alabama,Mobile,6
Alabama,Monroe,6
Alabama,Montgomery,12
Alabama,Morgan,3
Alabama,Randolph,1
Alabama,Russell,7
Alabama,Shelby,18
Alabama,St Clair,6
Alabama,Sumter,4
Alabama,Talladega,8
Alabama,Tuscaloosa,25
Alabama,Walker,38
Alabama,Washington,1
Alabama,Winston,8
Alaska,2003,2
Alaska,2005,25
Alaska,2006,5
Alaska,2007,3
Alaska,2011,1
Alaska,2012,8
Alaska,2014,27
Alaska,Aleutians East,14
Arizona,Apache,6
Arizona,Cochise,22
Arizona,Coconino,18
Arizona,Gila,11
Arizona,Graham,4
Arizona,Greenlee,3
Arizona,La Paz,4
Arizona,Maricopa,69
Arizona,Mohave,22
Arizona,Navajo,16
Arizona,Pima,36
Arizona,Pinal,31
Arizona,Santa Cruz,6
Arizona,Yavapai,34
Arizona,Yuma,6
Arkansas,Baxter,4
Arkansas,Benton,2
Arkansas,Boone,2
Arkansas,Bradley,2
Arkansas,Calhoun,5
Arkansas,Carroll,1
Arkansas,Clark,3
Arkansas,Clay,2
Arkansas,Cleburne,2
Arkansas,Craighead,3
Arkansas,Crawford,4
Arkansas,Crittenden,2
Arkansas,Cross,1
Arkansas,Desha,1
Arkansas,Faulkner,2
Arkansas,Franklin,2
Arkansas,Fulton,2
Arkansas,Garland,14
Arkansas,Grant,3
Arkansas,Greene,5
Arkansas,Hempstead,1
Arkansas,Hot Spring,8
Arkansas,Howard,2
Arkansas,Independence,6
Arkansas,Izard,2
Arkansas,Jackson,1
Arkansas,Jefferson,1
Arkansas,Johnson,5
Arkansas,Lawrence,2
Arkansas,Little River,5
Arkansas,Logan,4
Arkansas,Marion,2
Arkansas,Montgomery,4
Arkansas,Nevada,1
Arkansas,Newton,1
Arkansas,Ouachita,4
Arkansas,Perry,1
Arkansas,Pike,5
Arkansas,Poinsett,1
Arkansas,Polk,2
Arkansas,Pope,3
Arkansas,Pulaski,14
Arkansas,Saline,7
Arkansas,Sebastian,13
Arkansas,Sevier,2
Arkansas,St Francis,2
Arkansas,Stone,1
Arkansas,Van Buren,1
Arkansas,Washington,3
Arkansas,White,1
Arkansas,Yell,1
California,Alameda,13
California,Alpine,1
California,Amador,6
California,Butte,4
California,Calaveras,11
California,Contra Costa,8
California,Del Norte,2
California,El Dorado,11
California,Fresno,8
California,Glenn,3
California,Humboldt,12
California,Imperial,12
California,Inyo,29
California,Kern,32
California,Lake,10
California,Lassen,5
California,Los Angeles,31
California,Madera,3
California,Marin,1
California,Mariposa,4
California,Mendocino,7
California,Merced,4
California,Mono,6
California,Monterey,9
California,Napa,2
California,Nevada,9
California,Orange,11
California,Placer,10
California,Plumas,7
California,Riverside,45
California,Sacramento,11
California,San Benito,7
California,San Bernardino,55
California,San Diego,36
California,San Joaquin,8
California,San Luis Obispo,12
California,San Mateo,4
California,Santa Barbara,14
California,Santa Clara,9
California,Santa Cruz,10
California,Shasta,11
California,Sierra,9
California,Siskiyou,12
California,Solano,3
California,Sonoma,16
California,Stanislaus,5
California,Sutter,1
California,Tehama,2
California,Trinity,3
California,Tulare,2
California,Tuolumne,8
California,Ventura,17
California,Yolo,5
California,Yuba,7
Colorado,Adams,17
Colorado,Alamosa,5
Colorado,Arapahoe,9
Colorado,Archuleta,3
Colorado,Bent,1
Colorado,Boulder,29
Colorado,Chaffee,4
Colorado,Clear Creek,14
Colorado,Conejos,2
Colorado,Costilla,3
Colorado,Crowley,1
Colorado,Custer,2
Colorado,Delta,12
Colorado,Denver,1
Colorado,Dolores,5
Colorado,Douglas,11
Colorado,Eagle,7
Colorado,El Paso,22
Colorado,Elbert,2
Colorado,Fremont,20
