State,County,Number of Mines
Alabama,Autauga,7
Alabama,Baldwin,3
Alabama,Barbour,3
Alabama,Bibb,5
Alabama,Blount,5
Alabama,Calhoun,2
Alabama,Cherokee,1
Alabama,Chilton,1
Alabama,Clarke,4
Alabama,Colbert,5
Alabama,Conecuh,2
Alabama,Coosa,1
Alabama,Covington,1
Alabama,Cullman,2
Alabama,Dale,1
Alabama,Dallas,4
Alabama,De Kalb,3
Alabama,Elmore,2
Alabama,Escambia,2
Alabama,Etowah,2
Alabama,Fayette,2
Alabama,Franklin,3
Alabama,Geneva,1
Alabama,Hale,1
Alabama,Jackson,6
Alabama,Jefferson,22
Alabama,Lawrence,1
Alabama,Lee,2
Alabama,Limestone,1
Alabama,Lowndes,3
Alabama,Macon,3
Alabama,Madison,6
Alabama,Marengo,2
Alabama,Marion,2
Alabama,Marshall,3
Alabama,Mobile,6
Alabama,Monroe,4
Alabama,Montgomery,6
Alabama,Morgan,4
Alabama,Randolph,3
Alabama,Russell,3
Alabama,Shelby,16
Alabama,St Clair,7
Alabama,Sumter,1
Alabama,Talladega,5
Alabama,Tuscaloosa,9
Alabama,Walker,8
Alabama,Washington,1
Alaska,Aleutians West,1
Alaska,Anchorage,9
Alaska,Bethel,1
Alaska,Bristol Bay,1
Alaska,Denali,3
Alaska,Fairbanks North Star,25
Alaska,Haines,2
Alaska,Juneau,7
Alaska,Kenai Peninsula,11
Alaska,Ketchikan Gateway,4
Alaska,Kodiak Island,4
Alaska,Matanuska-Susitna,24
Alaska,Nome,11
Alaska,North Slope,1
Alaska,Northwest Arctic,2
Alaska,Petersburg Census Area,1
Alaska,Prince of Wales-Hyder Census Area,1
Alaska,Sitka,2
Alaska,Skagway Municipality,1
Alaska,Southeast Fairbanks,10
Alaska,Valdez-Cordova,8
Alaska,Yukon-Koyukuk,8
Arizona,Apache,7
Arizona,Cochise,16
Arizona,Coconino,22
Arizona,Gila,16
Arizona,Graham,4
Arizona,Greenlee,4
Arizona,La Paz,6
Arizona,Maricopa,59
Arizona,Mohave,26
Arizona,Navajo,10
Arizona,Pima,21
Arizona,Pinal,38
Arizona,Santa Cruz,6
Arizona,Yavapai,39
Arizona,Yuma,7
Arkansas,Arkansas,1
Arkansas,Baxter,4
Arkansas,Benton,4
Arkansas,Boone,2
Arkansas,Bradley,1
Arkansas,Calhoun,1
Arkansas,Carroll,2
Arkansas,Cleburne,1
Arkansas,Conway,3
Arkansas,Craighead,2
Arkansas,Crawford,2
