State,County,Number of Mines
Alabama,Autauga,1
Alabama,Baldwin,4
Alabama,Barbour,4
Alabama,Bibb,4
Alabama,Blount,8
Alabama,Calhoun,3
Alabama,Cherokee,1
Alabama,Chilton,2
Alabama,Choctaw,1
Alabama,Clarke,5
Alabama,Colbert,5
Alabama,Conecuh,2
Alabama,Coosa,1
Alabama,Cullman,3
Alabama,Dale,1
Alabama,Dallas,5
Alabama,De Kalb,1
Alabama,Elmore,3
Alabama,Escambia,10
Alabama,Etowah,2
Alabama,Fayette,5
Alabama,Franklin,7
Alabama,Geneva,1
Alabama,Hale,1
Alabama,Houston,2
Alabama,Jackson,4
Alabama,Jefferson,25
Alabama,Lauderdale,1
Alabama,Lawrence,2
Alabama,Lee,2
Alabama,Limestone,1
Alabama,Lowndes,3
Alabama,Macon,3
Alabama,Madison,4
Alabama,Marengo,1
Alabama,Marion,8
Alabama,Marshall,3
Alabama,Mobile,9
Alabama,Monroe,6
Alabama,Montgomery,11
Alabama,Morgan,4
Alabama,Pickens,4
Alabama,Randolph,1
Alabama,Russell,4
Alabama,Shelby,14
Alabama,St Clair,5
Alabama,Sumter,1
Alabama,Talladega,9
Alabama,Tuscaloosa,16
Alabama,Walker,25
Alabama,Washington,1
Alabama,Winston,3
Alaska,Aleutians West,1
Alaska,Anchorage,6
Alaska,Bethel,1
Alaska,Denali,1
Alaska,Fairbanks North Star,16
Alaska,Haines,1
Alaska,Juneau,6
Alaska,Kenai Peninsula,2
Alaska,Ketchikan Gateway,2
Alaska,Matanuska-Susitna,16
Alaska,Nome,2
Alaska,Northwest Arctic,1
Alaska,Sitka,2
Alaska,Skagway-Hoonah-Angoon,2
Alaska,Southeast Fairbanks,2
Alaska,Valdez-Cordova,1
Alaska,Yukon-Koyukuk,8
Arizona,Apache,6
Arizona,Cochise,20
Arizona,Coconino,63
Arizona,Gila,17
Arizona,Graham,4
Arizona,Greenlee,5
Arizona,La Paz,7
Arizona,Maricopa,78
Arizona,Mohave,41
Arizona,Navajo,16
Arizona,Pima,48
Arizona,Pinal,44
Arizona,Santa Cruz,5
Arizona,Yavapai,38
Arizona,Yuma,15
Arkansas,Baxter,4
Arkansas,Benton,5
Arkansas,Boone,1
Arkansas,Bradley,2
Arkansas,Calhoun,2
Arkansas,Carroll,2
Arkansas,Clark,1
Arkansas,Cleburne,4
Arkansas,Conway,3
Arkansas,Craighead,4
Arkansas,Crawford,2
Arkansas,Crittenden,1
Arkansas,Cross,3
Arkansas,Desha,1
Arkansas,Faulkner,5
Arkansas,Franklin,6
Arkansas,Garland,13
Arkansas,Grant,3
Arkansas,Greene,3
Arkansas,Hempstead,1
Arkansas,Hot Spring,8
Arkansas,Howard,2
Arkansas,Independence,8
Arkansas,Izard,5
Arkansas,Jackson,1
Arkansas,Jefferson,1
Arkansas,Johnson,4
Arkansas,Lawrence,3
Arkansas,Lincoln,1
Arkansas,Little River,3
Arkansas,Logan,2
Arkansas,Madison,1
Arkansas,Marion,3
Arkansas,Montgomery,10
Arkansas,Nevada,1
Arkansas,Ouachita,3
Arkansas,Perry,1
Arkansas,Pike,4
Arkansas,Poinsett,4
Arkansas,Polk,1
Arkansas,Pope,3
Arkansas,Pulaski,15
Arkansas,Randolph,1
Arkansas,Saline,6
Arkansas,Sebastian,12
Arkansas,Sevier,3
Arkansas,Sharp,1
Arkansas,Stone,4
Arkansas,Van Buren,4
Arkansas,Washington,3
Arkansas,White,3
