State,County,Number of Mines
Alabama,Autauga,7
Alabama,Baldwin,3
Alabama,Barbour,4
Alabama,Bibb,4
Alabama,Blount,6
Alabama,Calhoun,2
Alabama,Cherokee,2
Alabama,Chilton,1
Alabama,Clarke,4
Alabama,Colbert,5
Alabama,Conecuh,1
Alabama,Coosa,1
Alabama,Covington,1
Alabama,Dale,1
Alabama,Dallas,4
Alabama,De Kalb,3
Alabama,Elmore,2
Alabama,Escambia,4
Alabama,Etowah,3
Alabama,Fayette,2
Alabama,Franklin,4
Alabama,Geneva,1
Alabama,Hale,1
Alabama,Jackson,8
Alabama,Jefferson,23
Alabama,Lawrence,4
Alabama,Lee,2
Alabama,Limestone,1
Alabama,Lowndes,3
Alabama,Macon,3
Alabama,Madison,5
Alabama,Marengo,2
Alabama,Marion,3
Alabama,Marshall,3
Alabama,Mobile,6
Alabama,Monroe,4
Alabama,Montgomery,5
Alabama,Morgan,4
Alabama,Randolph,3
Alabama,Russell,4
Alabama,Shelby,17
Alabama,St Clair,7
Alabama,Sumter,1
Alabama,Talladega,5
Alabama,Tuscaloosa,10
Alabama,Walker,13
Alabama,Washington,1
Alabama,Winston,1
Alaska,Aleutians East,1
Alaska,Aleutians West,1
Alaska,Anchorage,10
Alaska,Bethel,1
Alaska,Denali,6
Alaska,Fairbanks North Star,28
Alaska,Haines,2
Alaska,Juneau,8
Alaska,Kenai Peninsula,15
Alaska,Ketchikan Gateway,3
Alaska,Kodiak Island,4
Alaska,Matanuska-Susitna,24
Alaska,Nome,12
Alaska,North Slope,4
Alaska,Northwest Arctic,4
Alaska,Petersburg Census Area,1
Alaska,Prince of Wales-Hyder Census Area,1
Alaska,Skagway Municipality,1
Alaska,Southeast Fairbanks,14
Alaska,Valdez-Cordova,11
Alaska,Wade Hampton,1
Alaska,Yukon-Koyukuk,9
American Samoa,Unknown,1
Arizona,Apache,8
Arizona,Cochise,16
Arizona,Coconino,25
Arizona,Gila,17
Arizona,Graham,5
Arizona,Greenlee,5
Arizona,La Paz,4
Arizona,Maricopa,62
Arizona,Mohave,27
Arizona,Navajo,13
Arizona,Pima,21
Arizona,Pinal,38
Arizona,Santa Cruz,5
Arizona,Yavapai,35
Arizona,Yuma,7
Arkansas,Arkansas,1
Arkansas,Baxter,4
Arkansas,Benton,4
Arkansas,Boone,2
Arkansas,Bradley,1
Arkansas,Calhoun,1
Arkansas,Carroll,3
Arkansas,Cleburne,1
Arkansas,Conway,5
Arkansas,Craighead,3
