State,County,Number of Employees
Alabama,Autauga,16
Alabama,Baldwin,18
Alabama,Barbour,61
Alabama,Bibb,18
Alabama,Blount,82
Alabama,Calhoun,35
Alabama,Cherokee,2
Alabama,Chilton,28
Alabama,Choctaw,4
Alabama,Clarke,18
Alabama,Coffee,0
Alabama,Colbert,101
Alabama,Conecuh,13
Alabama,Coosa,14
Alabama,Covington,0
Alabama,Cullman,16
Alabama,Dale,5
Alabama,Dallas,39
Alabama,De Kalb,18
Alabama,Elmore,50
Alabama,Escambia,70
Alabama,Etowah,27
Alabama,Fayette,16
Alabama,Franklin,44
Alabama,Geneva,3
Alabama,Hale,3
Alabama,Houston,5
Alabama,Jackson,23
Alabama,Jefferson,1437
Alabama,Lawrence,18
Alabama,Lee,41
Alabama,Limestone,11
Alabama,Lowndes,41
Alabama,Macon,46
Alabama,Madison,62
Alabama,Marengo,81
Alabama,Marion,33
Alabama,Marshall,38
Alabama,Mobile,186
Alabama,Monroe,10
Alabama,Montgomery,96
Alabama,Morgan,56
Alabama,Pickens,5
Alabama,Randolph,4
Alabama,Russell,22
Alabama,Shelby,745
Alabama,St Clair,177
Alabama,Sumter,70
Alabama,Talladega,468
Alabama,Tuscaloosa,1719
Alabama,Walker,334
Alabama,Washington,8
Alabama,Winston,36
Alaska,2010,8
Alaska,2011,0
Alaska,2012,0
Alaska,2014,0
Alaska,Aleutians West,0
Alaska,Anchorage,45
Alaska,Bethel,23
Alaska,Denali,0
Alaska,Fairbanks North Star,366
Alaska,Haines,0
Alaska,Juneau,288
Alaska,Kenai Peninsula,27
Alaska,Ketchikan Gateway,5
Alaska,Matanuska-Susitna,85
Alaska,Nome,2
Alaska,North Slope,2
Alaska,Northwest Arctic,177
Alaska,Prince of Wales-Outer Ketchikan,0
Alaska,Sitka,21
Alaska,Skagway-Hoonah-Angoon,8
Alaska,Southeast Fairbanks,11
Alaska,Valdez-Cordova,18
Alaska,Yukon-Koyukuk,152
Arizona,Apache,35
Arizona,Cochise,155
Arizona,Coconino,468
Arizona,Gila,436
Arizona,Graham,14
Arizona,Greenlee,2335
Arizona,La Paz,40
Arizona,Maricopa,923
Arizona,Mohave,211
Arizona,Navajo,882
Arizona,Pima,1963
Arizona,Pinal,1340
Arizona,Santa Cruz,21
Arizona,Yavapai,993
Arizona,Yuma,62
Arkansas,Arkansas,6
Arkansas,Baxter,33
Arkansas,Benton,75
Arkansas,Bradley,17
Arkansas,Calhoun,17
Arkansas,Carroll,17
Arkansas,Clark,5
Arkansas,Cleburne,28
Arkansas,Conway,18
Arkansas,Craighead,34
Arkansas,Crawford,45
Arkansas,Crittenden,46
Arkansas,Cross,16
Arkansas,Desha,5
Arkansas,Faulkner,28
Arkansas,Franklin,25
Arkansas,Garland,100
Arkansas,Grant,18
Arkansas,Greene,9
Arkansas,Hempstead,0
Arkansas,Hot Spring,86
Arkansas,Howard,6
Arkansas,Independence,122
Arkansas,Izard,59
Arkansas,Jackson,1
Arkansas,Jefferson,3
Arkansas,Johnson,14
Arkansas,Lawrence,81
Arkansas,Lincoln,10
Arkansas,Little River,202
Arkansas,Logan,87
Arkansas,Madison,0
Arkansas,Marion,2
Arkansas,Montgomery,43
Arkansas,Nevada,24
Arkansas,Ouachita,45
Arkansas,Perry,2
Arkansas,Pike,19
Arkansas,Poinsett,29
Arkansas,Polk,63
Arkansas,Pope,57
Arkansas,Pulaski,458
Arkansas,Randolph,6
Arkansas,Saline,310
Arkansas,Searcy,5
Arkansas,Sebastian,163
Arkansas,Sevier,16
Arkansas,Sharp,6
Arkansas,Stone,87
Arkansas,Van Buren,41
Arkansas,Washington,34
Arkansas,White,32
California,Alameda,250
California,Alpine,2
California,Amador,90
California,Butte,71
California,Calaveras,25
California,Colusa,8
California,Contra Costa,184
California,Del Norte,27
California,El Dorado,57
California,Fresno,101
California,Glenn,36
California,Humboldt,83
California,Imperial,203
California,Inyo,214
California,Kern,1608
California,Lake,133
California,Lassen,44
California,Los Angeles,478
California,Madera,41
California,Marin,45
California,Mariposa,19
California,Mendocino,62
California,Merced,53
California,Modoc,47
California,Mono,42
California,Monterey,133
California,Napa,78
California,Nevada,64
California,Orange,123
California,Placer,84
California,Plumas,21
California,Riverside,491
California,Sacramento,341
California,San Benito,160
California,San Bernardino,1393
California,San Diego,368
California,San Francisco,5
California,San Joaquin,222
California,San Luis Obispo,51
California,San Mateo,31
California,Santa Barbara,395
California,Santa Clara,242
California,Santa Cruz,199
California,Shasta,240
California,Sierra,15
California,Siskiyou,37
California,Solano,78
California,Sonoma,149
California,Stanislaus,54
California,Sutter,14
California,Tehama,41
California,Trinity,7
California,Tulare,80
California,Tuolumne,69
California,Ventura,188
California,Yolo,88
California,Yuba,99
Colorado,Adams,173
Colorado,Alamosa,77
Colorado,Arapahoe,20
Colorado,Archuleta,26
Colorado,Baca,4
Colorado,Boulder,158
Colorado,Chaffee,40
Colorado,Clear Creek,309
Colorado,Conejos,10
Colorado,Custer,4
Colorado,Delta,209
Colorado,Denver,15
Colorado,Dolores,3
Colorado,Douglas,16
Colorado,Eagle,17
Colorado,El Paso,80
Colorado,Elbert,1
Colorado,Fremont,355
Colorado,Garfield,61
Colorado,Grand,15
Colorado,Gunnison,556
Colorado,Hinsdale,4
Colorado,Huerfano,4
Colorado,Jackson,3
Colorado,Jefferson,197
Colorado,Kit Carson,4
Colorado,La Plata,75
Colorado,Lake,33
Colorado,Larimer,361
Colorado,Las Animas,43
Colorado,Logan,5
Colorado,Mesa,101
Colorado,Moffat,429
Colorado,Montezuma,51
Colorado,Montrose,54
Colorado,Morgan,21
Colorado,Otero,20
Colorado,Ouray,2
Colorado,Park,14
Colorado,Phillips,2
Colorado,Prowers,41
Colorado,Pueblo,73
Colorado,Rio Blanco,201
Colorado,Rio Grande,9
Colorado,Routt,441
Colorado,Saguache,2
Colorado,San Juan,4
Colorado,San Miguel,3
Colorado,Sedgwick,2
Colorado,Summit,24
Colorado,Teller,232
Colorado,Weld,184
Connecticut,Fairfield,41
Connecticut,Hartford,137
Connecticut,Litchfield,163
Connecticut,Middlesex,24
Connecticut,New Haven,255
Connecticut,New London,32
Connecticut,Tolland,64
Connecticut,Windham,91
Delaware,Kent,21
Delaware,New Castle,66
Delaware,Sussex,17
Florida,Alachua,116
Florida,Brevard,33
Florida,Broward,17
Florida,Calhoun,2
Florida,Charlotte,67
Florida,Citrus,97
Florida,Clay,271
Florida,Collier,65
Florida,Columbia,4
Florida,Dade,1016
Florida,De Soto,8
