State,County,Number of Employees
Alabama,Autauga,43
Alabama,Baldwin,14
Alabama,Barbour,118
Alabama,Bibb,72
Alabama,Blount,78
Alabama,Calhoun,20
Alabama,Cherokee,3
Alabama,Chilton,5
Alabama,Clarke,72
Alabama,Colbert,79
Alabama,Conecuh,17
Alabama,Coosa,9
Alabama,Covington,21
Alabama,Cullman,0
Alabama,Dale,4
Alabama,Dallas,28
Alabama,De Kalb,11
Alabama,Elmore,107
Alabama,Escambia,62
Alabama,Etowah,27
Alabama,Fayette,9
Alabama,Franklin,50
Alabama,Geneva,3
Alabama,Hale,4
Alabama,Henry,8
Alabama,Jackson,56
Alabama,Jefferson,1772
Alabama,Lawrence,34
Alabama,Lee,47
Alabama,Limestone,10
Alabama,Lowndes,42
Alabama,Macon,27
Alabama,Madison,75
Alabama,Marengo,85
Alabama,Marion,17
Alabama,Marshall,36
Alabama,Mobile,84
Alabama,Monroe,11
Alabama,Montgomery,33
Alabama,Morgan,36
Alabama,Pickens,0
Alabama,Randolph,26
Alabama,Russell,15
Alabama,Shelby,807
Alabama,St Clair,138
Alabama,Sumter,41
Alabama,Talladega,308
Alabama,Tuscaloosa,489
Alabama,Walker,652
Alabama,Washington,0
Alabama,Winston,2
Alaska,Aleutians East,2
Alaska,Aleutians West,17
Alaska,Anchorage,78
Alaska,Bethel,9
Alaska,Denali,94
Alaska,Dillingham,3
Alaska,Fairbanks North Star,653
Alaska,Haines,12
Alaska,Juneau,752
Alaska,Kenai Peninsula,39
Alaska,Ketchikan Gateway,20
Alaska,Kodiak Island,19
Alaska,Matanuska-Susitna,97
Alaska,Nome,61
Alaska,North Slope,48
Alaska,Northwest Arctic,247
Alaska,Petersburg Census Area,4
Alaska,Prince of Wales-Hyder Census Area,14
Alaska,Sitka,0
Alaska,Skagway Municipality,5
Alaska,Southeast Fairbanks,339
Alaska,Valdez-Cordova,24
Alaska,Wade Hampton,4
Alaska,Yukon-Koyukuk,86
American Samoa,Tutuila,0
American Samoa,Unknown,9
Arizona,Apache,85
Arizona,Cochise,75
Arizona,Coconino,165
Arizona,Gila,1556
Arizona,Graham,830
Arizona,Greenlee,3242
Arizona,La Paz,32
Arizona,Maricopa,577
Arizona,Mohave,194
Arizona,Navajo,506
