State,County,Number of Employees
Alabama,Autauga,27
Alabama,Baldwin,23
Alabama,Barbour,56
Alabama,Bibb,28
Alabama,Blount,72
Alabama,Calhoun,28
Alabama,Cherokee,6
Alabama,Chilton,28
Alabama,Clarke,11
Alabama,Cleburne,8
Alabama,Colbert,101
Alabama,Conecuh,11
Alabama,Coosa,12
Alabama,Covington,15
Alabama,Cullman,76
Alabama,Dale,5
Alabama,Dallas,34
Alabama,De Kalb,18
Alabama,Elmore,43
Alabama,Escambia,37
Alabama,Etowah,22
Alabama,Fayette,27
Alabama,Franklin,55
Alabama,Geneva,3
Alabama,Hale,5
Alabama,Henry,2
Alabama,Houston,0
Alabama,Jackson,52
Alabama,Jefferson,1594
Alabama,Lawrence,24
Alabama,Lee,38
Alabama,Limestone,10
Alabama,Lowndes,39
Alabama,Macon,31
Alabama,Madison,46
Alabama,Marengo,77
Alabama,Marion,49
Alabama,Marshall,29
Alabama,Mobile,152
Alabama,Monroe,21
Alabama,Montgomery,89
Alabama,Morgan,42
Alabama,Pickens,11
Alabama,Randolph,7
Alabama,Russell,28
Alabama,Shelby,735
Alabama,St Clair,201
Alabama,Sumter,58
Alabama,Talladega,427
Alabama,Tuscaloosa,1755
Alabama,Walker,382
Alabama,Washington,2
Alabama,Winston,23
Alaska,Anchorage,89
Alaska,Bethel,49
Alaska,Bristol Bay,2
Alaska,Denali,2
Alaska,Dillingham,10
Alaska,Fairbanks North Star,500
Alaska,Haines,0
Alaska,Juneau,268
Alaska,Kenai Peninsula,30
Alaska,Ketchikan Gateway,3
Alaska,Kodiak Island,19
Alaska,Lake and Peninsula,0
Alaska,Matanuska-Susitna,98
Alaska,Nome,18
Alaska,North Slope,2
Alaska,Northwest Arctic,166
Alaska,Sitka,14
Alaska,Skagway-Hoonah-Angoon,17
Alaska,Southeast Fairbanks,20
Alaska,Valdez-Cordova,20
Alaska,Yukon-Koyukuk,136
Arizona,Apache,56
Arizona,Cochise,112
Arizona,Coconino,397
Arizona,Gila,1043
Arizona,Graham,11
Arizona,Greenlee,2032
Arizona,La Paz,31
Arizona,Maricopa,1051
Arizona,Mohave,225
Arizona,Navajo,680
Arizona,Pima,1405
Arizona,Pinal,406
Arizona,Santa Cruz,36
Arizona,Yavapai,1041
Arizona,Yuma,80
Arkansas,Baxter,36
Arkansas,Benton,80
Arkansas,Boone,24
Arkansas,Bradley,6
Arkansas,Calhoun,7
Arkansas,Carroll,9
Arkansas,Cleburne,9
Arkansas,Conway,9
Arkansas,Craighead,20
Arkansas,Crawford,40
Arkansas,Crittenden,25
Arkansas,Cross,20
Arkansas,Desha,8
Arkansas,Faulkner,23
Arkansas,Franklin,22
Arkansas,Garland,94
Arkansas,Grant,24
Arkansas,Greene,8
Arkansas,Hot Spring,64
Arkansas,Howard,56
Arkansas,Independence,123
Arkansas,Izard,55
Arkansas,Jackson,8
Arkansas,Jefferson,3
Arkansas,Johnson,15
Arkansas,Lawrence,50
Arkansas,Lincoln,13
Arkansas,Little River,175
Arkansas,Logan,89
Arkansas,Marion,2
Arkansas,Montgomery,47
Arkansas,Nevada,16
Arkansas,Ouachita,44
Arkansas,Perry,8
Arkansas,Pike,17
Arkansas,Poinsett,27
Arkansas,Polk,44
Arkansas,Pope,42
Arkansas,Pulaski,365
Arkansas,Randolph,5
Arkansas,Saline,246
Arkansas,Scott,0
Arkansas,Searcy,4
Arkansas,Sebastian,178
Arkansas,Sevier,13
Arkansas,Sharp,6
Arkansas,Stone,23
Arkansas,Van Buren,27
Arkansas,Washington,73
Arkansas,White,28
California,Alameda,170
California,Alpine,2
California,Amador,166
California,Butte,50
California,Calaveras,25
California,Colusa,9
California,Contra Costa,88
California,Del Norte,12
California,El Dorado,51
California,Fresno,101
California,Glenn,39
California,Humboldt,82
California,Imperial,128
California,Inyo,140
California,Kern,1342
California,Kings,1
California,Lake,61
California,Lassen,41
California,Los Angeles,441
California,Madera,16
California,Marin,46
California,Mariposa,20
California,Mendocino,60
California,Merced,68
California,Modoc,24
California,Mono,34
California,Monterey,118
California,Napa,70
California,Nevada,48
California,Orange,105
California,Placer,73
California,Plumas,22
California,Riverside,661
California,Sacramento,205
California,San Benito,131
California,San Bernardino,1321
California,San Diego,307
California,San Francisco,4
California,San Joaquin,193
California,San Luis Obispo,61
California,San Mateo,35
California,Santa Barbara,365
California,Santa Clara,213
California,Santa Cruz,133
California,Shasta,227
California,Sierra,3
California,Siskiyou,33
California,Solano,84
California,Sonoma,153
California,Stanislaus,55
California,Sutter,18
California,Tehama,40
California,Trinity,13
California,Tulare,68
California,Tuolumne,69
California,Ventura,163
California,Yolo,112
California,Yuba,120
Colorado,Adams,133
Colorado,Alamosa,26
Colorado,Arapahoe,13
Colorado,Archuleta,27
Colorado,Baca,8
Colorado,Bent,10
Colorado,Boulder,186
Colorado,Chaffee,42
Colorado,Clear Creek,411
Colorado,Conejos,53
Colorado,Custer,2
Colorado,Delta,237
Colorado,Denver,22
Colorado,Dolores,3
Colorado,Douglas,15
Colorado,Eagle,17
Colorado,El Paso,81
Colorado,Elbert,4
Colorado,Fremont,294
Colorado,Garfield,52
Colorado,Grand,19
Colorado,Gunnison,610
Colorado,Hinsdale,3
Colorado,Huerfano,4
Colorado,Jackson,7
Colorado,Jefferson,184
Colorado,Kit Carson,1
Colorado,La Plata,92
Colorado,Lake,21
Colorado,Larimer,320
Colorado,Las Animas,24
Colorado,Logan,3
Colorado,Mesa,99
Colorado,Moffat,425
Colorado,Montezuma,51
Colorado,Montrose,70
Colorado,Morgan,10
Colorado,Otero,10
Colorado,Ouray,4
Colorado,Park,17
Colorado,Phillips,6
Colorado,Pitkin,0
Colorado,Prowers,44
Colorado,Pueblo,49
Colorado,Rio Blanco,180
Colorado,Rio Grande,10
Colorado,Routt,500
Colorado,Saguache,4
Colorado,San Juan,3
Colorado,San Miguel,2
Colorado,Sedgwick,2
Colorado,Summit,18
Colorado,Teller,273
Colorado,Weld,223
Connecticut,Fairfield,57
Connecticut,Hartford,182
Connecticut,Litchfield,165
Connecticut,Middlesex,22
Connecticut,New Haven,200
Connecticut,New London,33
Connecticut,Tolland,58
Connecticut,Windham,87
Delaware,Kent,21
Delaware,New Castle,44
Delaware,Sussex,22
Florida,Alachua,143
Florida,Bay,3
Florida,Brevard,35
Florida,Broward,24
Florida,Calhoun,2
Florida,Charlotte,94
Florida,Citrus,87
Florida,Clay,209
Florida,Collier,101
Florida,Dade,1087
Florida,De Soto,8
Florida,Dixie,4
Florida,Duval,8
Florida,Escambia,18
Florida,Gadsden,107
Florida,Gilchrist,3
Florida,Glades,51
Florida,Hamilton,294
Florida,Hardee,149
Florida,Hendry,10
Florida,Hernando,419
Florida,Hillsborough,94
Florida,Jackson,55
Florida,Jefferson,2
