Sector,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Coal,5496,5538,5256,5115,4918,4674,4414,4320,4025,3703,3429,3268,2946,2689,2609,2493,2306,2124,2144,2065,1972,2011,2063,2113,2030,2129,2076,1945,1975,1871,1700,1632,1460,1289,1216,1191,1134,1009,970
Metal,940,841,750,711,722,746,708,640,533,469,429,413,403,381,374,343,334,309,281,256,258,251,263,280,278,293,289,296,318,351,349,345,315,306,296,295,287,278,270
Nonmetal,1175,1157,1156,1071,1000,984,970,983,919,855,852,835,809,781,786,801,808,821,785,763,734,741,739,741,725,720,685,654,637,641,882,911,924,906,915,905,920,895,858
Stone,3680,3718,3842,3599,3605,3663,3614,3650,3627,3654,3681,3646,3649,3655,3712,3822,3962,4113,4282,4311,4357,4401,4490,4573,4639,4633,4601,4525,4445,4433,4362,4350,4303,4298,4358,4356,4338,4281,4264
Sand & gravel,5589,5740,6084,6200,6287,6415,6473,6565,6563,6316,6239,6199,6052,6026,6201,6443,6783,7046,7131,7125,7070,7074,7111,7178,7199,7132,6980,6863,6803,6797,6466,6366,6292,6290,6295,6299,6289,6251,6205
