Sector,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Coal operator & contractor,349.97,376.64000000000004,359.2,336.30999999999995,315.2,303.57000000000005,302.08,310.92,288.14,275.92,246.29,254.26,236.14999999999998,229.60999999999999,228.57999999999998,221.82,205.73,193.5,208.78,200.36,192.07999999999998,205,224.32000000000002,235.15,232.01,253,243.49,249.88,269.44,251.57,226.98,213.98,182.65,139.63,150.38,154.29,150.6,109.91,108.46000000000001
Metal operator,96.47,93.74,81.01,73.46,80.43,93.71,104.63,108.72,106.39,102.64,98.09,96.51,100.92,104.06,101.67,92.98,83.36,77.44,68.79,58.5,55.54,59.48,63.41,67.94,75.49,81.36,66.55,74.85,84.87,92.05,94.98,92.18,86.77,77.92,79.31,84.49,85.54,79.78,81.29
Nonmetal operator,70.07,73.59,70.04,64.13,63.74,66.24,66.79,66.04,63.74,61.48,58.26,59.6,59.27,60,59.18,57.18,54.66,53.09,50.56,47.54,46.87,46.85,46.22,46.44,46.53,46.52,40.82,41.61,42.84,43.23,50.14,52.68,50.72,47.73,50.18,52.91,51.75,45.39,45.86
Stone operator,146.29,156.05,158.06,159.87,160.69,161.21,158.23,156.25,146.1,145.95,149.12,152.79,155.24,156.7,159.73,164.77,167.77,168.54,166.05,161.73,160.01,163.46,168.62,170.8,166.51,153.5,127.72,126.04,126.48,127.02,125.32,130.27,135.25,138.52,138.52,137.95,139.54,134.94,136.8
Sand & gravel operator,55.15,60.39,63.77,66.77,68.7,70.08,70.24,69.9,64.98,64.97,65.85,68.29,68.57,69.31,71.56,74.99,78.87,78.1,76.95,75.3,74.77,76.62,78.43,79.59,76.68,66.69,55.21,53.51,54.5,56.61,51.69,52.89,54.72,56.24,57.98,62.5,64.43,61.06,61.38
Noncoal contractor,12.44,14.79,16.61,17.16,20.17,27.75,30.36,28.95,32.26,29.02,28.22,34.4,40.38,40.28,42.52,43.3,47.77,54.21,49.85,39.25,39.94,46.75,54.06,62.59,76.3,80.17,56.88,61.38,73.74,83.91,86.06,80.95,75.47,67.21,66.68,76.48,74.25,65.1,72.09
