code,state,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
NE,Nebraska,1180,1159,1209,1148,1004,981,959,974,980,992,1023,947,949,917,933,943,1004,940,924,938,945,941,919,864,886,892,875,872,921,989,923,933,930,912,947,945,970,842,849
NV,Nevada,4345,4831,4607,5093,6106,8239,10346,11343,10483,10094,10490,9831,10679,12088,11638,10438,9530,8910,8388,7972,7757,8049,8602,9209,9366,9840,9803,9719,10460,11668,12113,11690,11648,11167,11482,11798,11736,11779,11727
NH,New Hampshire,359,373,400,489,555,545,541,465,386,397,386,389,410,395,367,436,472,500,540,632,542,600,616,635,630,548,504,512,529,551,553,588,542,553,539,549,549,554,574
NJ,New Jersey,1554,1635,1666,1608,1722,1708,1766,1661,1703,2054,1353,1380,1374,1297,1367,1388,1430,1396,1413,1453,1336,1269,1259,1257,1206,1088,948,911,885,891,888,912,904,917,933,960,992,1001,960
NM,New Mexico,7213,7376,6771,6211,5940,5973,6171,6351,6273,6195,6241,6237,6111,6128,6143,6063,5574,5248,5209,4749,4218,4432,4735,4848,4895,5175,4231,4121,4584,5077,5062,4586,4334,3996,3668,3675,3719,3161,3112
NY,New York,4999,5223,5313,4900,5296,5264,5343,5165,4994,4671,4713,4636,4514,4147,4172,4226,4153,4157,4137,3995,3914,3904,4097,4194,4237,3987,3745,3576,3519,3411,3369,3443,3441,3474,3528,3659,3584,3495,3565
NC,North Carolina,3665,3755,3888,3792,3920,4007,4067,4691,3964,3779,4355,3844,3953,3907,4015,3909,3922,4005,3979,3770,3702,3666,3713,3737,3738,3592,3220,3161,3152,3009,2834,2758,2780,2773,2856,2924,2941,2902,2836
ND,North Dakota,1424,1440,1505,1397,1343,1268,1294,1276,1245,1207,1223,1191,1246,1186,1246,1303,1381,1314,1331,1321,1350,1310,1289,1316,1344,1357,1498,1611,1856,2198,2137,2084,2051,1873,1728,1718,1704,1689,1630
OH,Ohio,14136,14709,13729,13344,12526,11528,11368,10974,9593,8865,8212,8507,7763,7751,8010,7968,7678,7312,7199,6854,6438,6467,6391,6258,6142,6206,5986,5786,6048,6208,6159,5984,5513,4638,4286,4310,4241,3722,3498
OK,Oklahoma,3509,3722,3623,3306,3190,2862,2789,2707,2834,2340,2244,2246,2251,2287,2283,2410,2501,2613,2730,2620,2596,2700,2901,3205,3363,3187,2868,2713,2640,2653,2697,2646,2713,2742,2809,2849,2909,2735,2666
OR,Oregon,1115,1188,1106,1400,1352,1493,1510,1627,1773,1700,1840,1614,1812,1744,1871,1915,1910,1858,1638,1648,1612,1677,1830,1907,1944,1844,1486,1434,1431,1401,1359,1400,1522,1631,1597,1696,1772,1695,1717
PA,Pennsylvania,32230,32012,29146,27926,25746,24657,23509,23249,21057,19992,17634,17182,16144,15861,16027,16054,15292,14158,14282,13545,12624,13420,13484,13312,13398,13817,13198,13202,13754,13903,13238,12582,11493,10235,10253,10376,10342,9772,9568
RI,Rhode Island,105,114,127,126,127,134,177,150,122,122,161,163,149,128,118,135,157,184,158,152,174,176,169,168,205,194,181,138,148,174,190,208,200,211,207,193,203,240,247
SC,South Carolina,1942,2059,2197,2082,2178,2250,2301,2276,2068,2002,1950,1956,1891,1934,1878,1890,1955,1924,1784,1718,1661,1637,1515,1542,1559,1526,1280,1309,1254,1218,1205,1249,1334,1485,1588,1643,1685,1779,1854
SD,South Dakota,2561,2539,2507,2299,2518,2371,2416,2597,2532,2409,2196,2967,1993,1946,1851,1460,1405,1392,1292,1179,1205,1131,1114,1130,1114,1117,1056,1042,1011,1029,1002,1028,1038,1010,1017,1045,972,1027,1038
TN,Tennessee,6948,7494,7445,6906,6457,6416,5984,5716,5125,4464,4310,4388,4516,4586,4535,4520,4172,3962,3814,3478,3277,3289,3320,3389,3803,3767,3250,3379,3634,3573,3455,3387,3467,3166,3368,3342,3405,3246,3330
TX,Texas,15275,15346,15154,14623,13451,12850,12412,12417,12499,11989,11844,12085,11982,12220,12138,12516,13050,13484,13631,13085,13116,13126,13137,13620,13894,13688,12107,12318,12662,12937,13273,13643,14009,13692,13277,14322,14905,13411,13050
UT,Utah,8394,8001,5647,5117,5964,5695,5462,5569,5187,4949,5039,5262,5157,5347,5648,5583,5287,5243,4863,4652,4426,4295,4915,5430,5587,5791,5347,5143,5379,5437,5195,5063,4709,4460,4666,5458,5124,5214,5277
VT,Vermont,1070,992,1032,1010,983,967,1036,1060,1039,970,906,868,908,949,965,995,1081,1129,1161,1060,1025,992,1070,1126,1099,1014,901,870,899,959,967,954,948,940,907,925,922,900,809
VA,Virginia,17410,18630,18114,17556,17034,16340,15162,15198,14338,13681,12547,12221,11092,10299,10577,9759,9246,8884,8836,8394,8006,8088,8461,8711,8150,7886,7282,7531,7896,7638,7184,6449,5799,5293,5363,5406,5366,4503,4395
WA,Washington,2443,2497,2798,3050,2992,3053,3267,3310,3095,2978,2987,3167,2987,2910,2987,2964,2934,2964,2890,2774,2795,2868,3043,3096,2587,2527,2214,1982,1980,1867,1899,1909,1974,2028,1998,1997,1895,1635,1700
WV,West Virginia,40143,40736,37640,34586,31535,31111,30816,31603,29606,27541,22775,24171,23043,21283,20248,19488,17243,16877,18090,17797,16448,17588,19743,21127,21204,23022,22808,22129,24438,23934,21443,19809,16930,12997,14467,15177,15269,12522,12661
WI,Wisconsin,1891,1982,2220,2163,2058,2141,2138,2168,2144,2206,2398,2432,2436,2448,2582,2611,2707,2577,2697,2729,2725,2831,2957,3064,2908,2786,2431,2351,2621,3067,3325,3710,3746,3140,3871,4282,3742,3148,3151
WY,Wyoming,10445,9726,9325,8123,7673,7825,7814,8267,8171,8035,7798,7953,8087,8105,8163,8125,7835,7798,7849,7934,7899,8140,8391,9194,9808,10236,10185,10011,10389,10459,10043,10257,9876,8840,8804,8935,8541,8016,7628
